Title,Release,NumSubjects,SubjectName,SubjectType,SubjectRace,PersonOfColor,SubjectSex,LeadActor,Period
The Wonderful World of the Brothers Grimm,1961,2,Jacob Grimm,Author,White,0,Male,Karlheinz BÌ¦hm,1915--1965
The Wonderful World of the Brothers Grimm,1961,2,Wilhelm Grimm,Author,White,0,Male,Laurence Harvey,1915--1965
Hell to Eternity,1960,1,Guy Gabaldon,Military,Hispanic (Latino),1,Male,Jeffrey Hunter,1915--1965
"Murder, Inc.",1960,1,Burton Turkus,Other,NA,0,Male,Henry Morgan,1915--1965
Spartacus,1960,1,Spartacus,Historical,NA,0,Male,Kirk Douglas,1915--1965
Sunrise at Campobello,1960,1,Franklin Roosevelt,World leader,White,0,Male,Ralph Bellamy,1915--1965
The Gallant Hours,1960,1,"William F. ""Bull"" Halsey, Jr.",Military,White,0,Male,James Cagney,1915--1965
The Trials of Oscar Wilde,1960,1,Oscar Wilde,Author,White,0,Male,Peter Finch,1915--1965
Al Capone,1959,1,Al Capone,Criminal,White,0,Male,Rod Steiger,1915--1965
Compulsion,1959,2,Nathan Leopold Jr.,Criminal,White,0,Male,Dean Stockwell/Bradford Dillman,1915--1965
Compulsion,1959,2,Richard Loeb,Criminal,White,0,Male,Dean Stockwell/Bradford Dillman,1915--1965
John Paul Jones,1959,1,John Paul Jones,Military,White,0,Male,Robert Stack,1915--1965
The Diary of Anne Frank,1959,1,Anne Frank,Other,White,0,Female,Millie Perkins,1915--1965
The Five Pennies,1959,1,"Loring ""Red"" Nichols",Musician,NA,0,Male,Danny Kaye,1915--1965
Carve Her Name with Pride,1958,1,Violette Bushell Szabo,Military,White,0,Female,Virginia McKenna,1915--1965
I Want to Live!,1958,1,Barbara Graham,Criminal,NA,0,Female,Susan Hayward,1915--1965
Machine-Gun Kelly,1958,1,George Kelly,Criminal,NA,0,Male,Charles Bronson,1915--1965
The Inn of the Sixth Happiness,1958,1,Gladys Aylward,Other,White,0,Female,Ingrid Bergman,1915--1965
The Left Handed Gun,1958,1,Henry McCarty (Billy the Kid),Criminal,White,0,Male,Paul Newman,1915--1965
Battle Hymn,1957,1,Dean Hess,Military,NA,0,Male,Rock Hudson,1915--1965
Fear Strikes Out,1957,1,Jimmy Piersall,Athlete,NA,0,Male,Anthony Perkins,1915--1965
Man of a Thousand Faces,1957,1,Lon Chaney,Actor,White,0,Male,James Cagney,1915--1965
Saint Joan,1957,1,Joan of Arc,Historical,White,0,Female,Jean Seberg,1915--1965
The Spirit of St. Louis,1957,1,Charles 'Slim' Lindbergh,Other,White,0,Male,James Stewart,1915--1965
The True Story of Jesse James,1957,1,Jesse James,Criminal,White,0,Male,Robert Wagner,1915--1965
The Wings of Eagles,1957,1,"Frank W. ""Spig"" Wead",Military,NA,0,Male,John Wayne,1915--1965
Alexander the Great,1956,1,Alexander the Great,Historical,White,0,Male,Richard Burton,1915--1965
Anastasia,1956,1,Anna Anderson / Anastasia,Other,White,0,Female,Ingrid Bergman,1915--1965
Lust for Life,1956,1,Vincent van Gogh,Artist,White,0,Male,Kirk Douglas,1915--1965
Reach for the Sky,1956,1,Douglas Bader,Military,NA,0,Male,Kenneth More,1915--1965
Somebody Up There Likes Me,1956,1,Rocky Graziano,Athlete,White,0,Male,Paul Newman,1915--1965
The Benny Goodman Story,1956,1,Benny Goodman,Musician,White,0,Male,Steve Allen,1915--1965
The Conqueror,1956,1,Temujin (Genghis Khan),Military,Asian,1,Male,John Wayne,1915--1965
The Eddy Duchin Story,1956,1,Eddy Duchin,Musician,NA,0,Male,Tyrone Power,1915--1965
The King and I,1956,1,Anna Leonowens,Other,Multi racial,0,Female,Deborah Kerr,1915--1965
The Ten Commandments,1956,1,Moses,Historical,Middle Eastern (White),0,Male,Charlton Heston,1915--1965
A Man Called Peter,1955,1,Peter Marshall,Other,White,0,Male,Richard Todd,1915--1965
I'll Cry Tomorrow,1955,1,Lillian Roth,Actress,White,0,Female,Susan Hayward,1915--1965
Interrupted Melody,1955,1,Marjorie Lawrence,Singer,White,0,Female,Eleanor Parker,1915--1965
Love Is a Many-Splendored Thing,1955,1,Han Suyin,Other,Eurasian,1,Female,Jennifer Jones,1915--1965
Love Me or Leave Me,1955,1,Ruth Etting,Singer,NA,0,Female,Doris Day,1915--1965
Richard III,1955,1,Richard III of England,Historical,White,0,Male,Laurence Olivier,1915--1965
The Court-Martial of Billy Mitchell,1955,1,Billy Mitchell,Military,White,0,Male,Gary Cooper,1915--1965
The Girl in the Red Velvet Swing,1955,1,Evelyn Nesbit (Thaw),Actress,White,0,Female,Joan Collins,1915--1965
The Long Gray Line,1955,1,Marty Maher,Military,White,0,Male,Tyrone Power,1915--1965
The Seven Little Foys,1955,1,"Eddie Foy, Sr.",Actor,White,0,Male,Bob Hope,1915--1965
To Hell and Back,1955,1,Audie Murphy,Military,White,0,Male,Audie Murphy,1915--1965
Beau Brummell,1954,1,George Brummell,Other,White,0,Male,Stewart Granger,1915--1965
DÌ©sirÌ©e,1954,2,DÌ©sirÌ©e Clary,Historical,White,0,Female,Jean Simmons,1915--1965
DÌ©sirÌ©e,1954,2,Napoleon Bonaparte,Historical,White,0,Male,Marlon Brando,1915--1965
His Majesty O'Keefe,1954,1,David Dion O'Keefe,Other,White,0,Male,Burt Lancaster,1915--1965
The Glenn Miller Story,1954,1,Glenn Miller,Musician,White,0,Male,James Stewart,1915--1965
Houdini,1953,1,Harry Houdini,Other,White,0,Male,Tony Curtis,1915--1965
The Actress,1953,1,Ruth Gordon Jones,Actress,NA,0,Female,Jean Simmons,1915--1965
The Lawless Breed,1953,1,John Wesley Hardin,Criminal,NA,0,Male,Rock Hudson,1915--1965
Young Bess,1953,1,Elizabeth I,Historical,White,0,Female,Jean Simmons,1915--1965
Above and Beyond,1952,1,Paul Tibbets,Military,NA,0,Male,Robert Taylor,1915--1965
Carbine Williams,1952,1,David Marshall Williams,Other,NA,0,Male,James Stewart,1915--1965
Hans Christian Andersen,1952,1,Hans Christian Andersen,Author,White,0,Male,Danny Kaye,1915--1965
Million Dollar Mermaid,1952,1,Annette Kellerman,Athlete,White,0,Female,Esther Williams,1915--1965
Moulin Rouge,1952,1,Henri de Toulouse-Lautrec,Artist,NA,0,Male,JosÌ© Ferrer,1915--1965
Stars and Stripes Forever,1952,1,John Philip Sousa,Musician,White,0,Male,Clifton Webb,1915--1965
The Winning Team,1952,1,Grover Cleveland Alexander,Athlete,White,0,Male,Ronald Reagan,1915--1965
Viva Zapata!,1952,1,Emiliano Zapata,Activist,Hispanic (Latin American),1,Male,Marlon Brando,1915--1965
With a Song in My Heart,1952,1,Jane Froman,Musician,NA,0,Female,Susan Hayward,1915--1965
I'll See You in My Dreams,1951,1,Gus Kahn,Musician,White,0,Male,Danny Thomas,1915--1965
Jim Thorpe -- All-American,1951,1,Jim Thorpe,Athlete,Native American,1,Male,Burt Lancaster,1915--1965
Quo Vadis,1951,2,Lygia,Historical,White,0,Female,Deborah Kerr,1915--1965
Quo Vadis,1951,2,Marcus Vinicius,Historical,White,0,Male,Robert Taylor,1915--1965
The Desert Fox: The Story of Rommel,1951,1,Erwin Rommel,Military,White,0,Male,James Mason,1915--1965
The Great Caruso,1951,1,Enrico Caruso,Musician,White,0,Male,Mario Lanza,1915--1965
The Magic Box,1951,1,William Friese-Greene,Other,NA,0,Male,Robert Donat,1915--1965
Annie Get Your Gun,1950,1,Annie Oakley,Athlete,White,0,Female,Betty Hutton,1915--1965
The Jackie Robinson Story,1950,1,Jackie Robinson,Athlete,African American,1,Male,Jackie Robinson,1915--1965
Three Little Words,1950,2,Bert Kalmar,Musician,White,0,Male,Fred Astaire,1915--1965
Three Little Words,1950,2,Harry Ruby,Musician,White,0,Male,Red Skelton,1915--1965
Young Man with a Horn,1950,1,Bix Beiderbecke,Musician,White,0,Male,Kirk Douglas,1915--1965
The Stratton Story,1949,1,Monty Stratton,Athlete,NA,0,Male,James Stewart,1915--1965
Joan of Arc,1948,1,Joan of Arc,Historical,White,0,Female,Ingrid Bergman,1915--1965
Scott of the Antarctic,1948,1,Robert Falcon Scott,Other,White,0,Male,John Mills,1915--1965
The Babe Ruth Story,1948,1,Babe Ruth,Athlete,White,0,Male,William Bendix,1915--1965
Words and Music,1948,2,Lorenz Hart,Musician,White,0,Male,Mickey Rooney,1915--1965
Words and Music,1948,2,Richard Rogers,Musician,White,0,Male,Tom Drake,1915--1965
The Perils of Pauline,1947,1,Pearl White,Actress,NA,0,Female,Betty Hutton,1915--1965
Anna and the King of Siam,1946,1,Anna Leonowens,Other,Multi racial,0,Female,Irene Dunne,1915--1965
Devotion,1946,3,Charlotte Bronte,Author,White,0,Female,Olivia de Havilland,1915--1965
Devotion,1946,3,Emily Bronte,Author,White,0,Female,Ida Lupino,1915--1965
Devotion,1946,3,Anne Bronte,Author,White,0,Female,Nancy Coleman,1915--1965
Night and Day,1946,1,Cole Porter,Musician,NA,0,Male,Cary Grant,1915--1965
Sister Kenny,1946,1,Elizabeth Kenny,Medicine,White,0,Female,Rosalind Russell,1915--1965
The Jolson Story,1946,1,Al Jolson,Musician,White,0,Male,Larry Parks,1915--1965
Till the Clouds Roll By,1946,1,Jerome Kern,Musician,White,0,Male,Robert Walker,1915--1965
A Song to Remember,1945,1,Frederic Chopin,Musician,White,0,Male,Cornel Wilde,1915--1965
Caesar and Cleopatra,1945,2,Julius Caesar,Historical,White,0,Male,Claude Rains,1915--1965
Caesar and Cleopatra,1945,2,Cleopatra,Historical,Middle Eastern,1,Female,Vivien Leigh,1915--1965
Captain Kidd,1945,1,William Kidd,Historical,White,0,Male,Charles Laughton,1915--1965
Dillinger,1945,1,John Dillinger,Criminal,White,0,Male,Lawrence Tierney,1915--1965
Pride of the Marines,1945,1,Al Schmid,Military,White,0,Male,John Garfield,1915--1965
Rhapsody in Blue,1945,1,George Gershwin,Musician,White,0,Male,Robert Alda,1915--1965
Story of G.I. Joe,1945,1,Ernie Pyle,Media,NA,0,Male,Burgess Meredith,1915--1965
Buffalo Bill,1944,1,William Cody,Other,White,0,Male,Joel McCrea,1915--1965
Henry V,1944,1,Henry V of England,Historical,White,0,Male,Laurence Olivier,1915--1965
The Adventures of Mark Twain,1944,1,Samuel Clemens,Author,White,0,Male,Frederic March,1915--1965
The Great Moment,1944,1,W.T. Morton,Medicine,NA,0,Male,Joel McCrea,1915--1965
Wilson,1944,1,Woodrow Wilson,World leader,White,0,Male,Alexander Knox,1915--1965
Madame Curie,1943,2,Pierre Curie,Academic,White,0,Male,Walter Pidgeon,1915--1965
Madame Curie,1943,2,Marie Curie,Academic,White,0,Female,Greer Garson,1915--1965
The Song of Bernadette,1943,1,Saint Bernadette Soubirous,Other,White,0,Female,Jennifer Jones,1915--1965
Gentleman Jim,1942,1,James J Corbett,Athlete,White,0,Male,Errol Flynn,1915--1965
Spitfire,1942,1,R. J. Mitchell,Military,White,0,Male,Leslie Howard,1915--1965
The Pride of the Yankees,1942,1,Lou Gehrig,Athlete,White,0,Male,Gary Cooper,1915--1965
Yankee Doodle Dandy,1942,1,George M. Cohan,Musician,White,0,Male,James Cagney,1915--1965
Billy the Kid,1941,1,Henry McCarty (Billy the Kid),Criminal,White,0,Male,Robert Taylor,1915--1965
Blossoms in the Dust,1941,1,Edna Gladney,Other,NA,0,Female,Greer Garson,1915--1965
One Foot in Heaven,1941,1,William Spence,Other,White,0,Male,Fredric March,1915--1965
Sergeant York,1941,1,Alvin C. York,Military,White,0,Male,Gary Cooper,1915--1965
They Died with Their Boots On,1941,1,George Armstrong Custer,Military,White,0,Male,Errol Flynn,1915--1965
Abe Lincoln in Illinois,1940,1,Abraham Lincoln,World leader,White,0,Male,Raymond Massey,1915--1965
Brigham Young,1940,1,Brigham Young,Other,White,0,Male,Dean Jagger,1915--1965
Dr. Ehrlich's Magic Bullet,1940,1,Paul Ehrlich,Medicine,White,0,Male,Edward G. Robinson,1915--1965
"Edison, the Man",1940,1,Thomas Edison,Academic,White,0,Male,Spencer Tracy,1915--1965
Knute Rockne All American,1940,1,Knute Rockne,Athlete,White,0,Male,Pat O'Brien,1915--1965
Santa Fe Trail,1940,1,John Brown,Other,White,0,Male,Raymond Massey,1915--1965
Young Tom Edison,1940,1,Thomas Edison,Other,White,0,Male,Mickey Rooney,1915--1965
Jesse James,1939,1,Jesse James,Criminal,White,0,Male,Tyrone Power,1915--1965
Juarez,1939,1,Benito Juarez,World leader,Hispanic (Latin American),1,Male,Paul Muni,1915--1965
The Private Lives of Elizabeth and Essex,1939,2,Elizabeth I of England,Historical,White,0,Female,Bette Davis,1915--1965
The Private Lives of Elizabeth and Essex,1939,2,"Robert Devereux, 2nd Earl of Essex",Historical,White,0,Male,Errol Flynn,1915--1965
The Story of Alexander Graham Bell,1939,1,Alexander Graham Bell,Academic,White,0,Male,Don Ameche,1915--1965
The Story of Vernon and Irene Castle,1939,2,Irene Castle,Artist,NA,0,Female,Ginger Rogers,1915--1965
The Story of Vernon and Irene Castle,1939,2,Vernon Castle,Artist,NA,0,Male,Fred Astaire,1915--1965
Young Mr. Lincoln,1939,1,Abraham Lincoln,World leader,White,0,Male,Henry Fonda,1915--1965
Boys Town,1938,1,Father Edward Flanagan,Other,White,0,Male,Spencer Tracy,1915--1965
Marie Antoinette,1938,1,Marie Antoinette,Historical,White,0,Female,Norma Shearer,1915--1965
The Adventures of Marco Polo,1938,1,Marco Polo,Historical,White,0,Male,Gary Cooper,1915--1965
The Great Waltz,1938,1,Johann Strauss II,Musician,White,0,Male,Fernand Gravey,1915--1965
The Life of Emile Zola,1937,1,Emile Zola,Author,White,0,Male,Paul Muni,1915--1965
The Toast of New York,1937,1,James Fisk,Criminal,White,0,Male,Edward Arnold,1915--1965
Mary of Scotland,1936,1,"Mary Stuart, Queen of Scots",Historical,White,0,Female,Katharine Hepburn,1915--1965
Rembrandt,1936,1,Rembrandt,Artist,White,0,Male,Charles Laughton,1915--1965
The Great Ziegfeld,1936,1,Florenz Ziegfeld,Musician,White,0,Male,William Powell,1915--1965
The Plainsman,1936,1,Wild Bill Hickok,Historical,White,0,Male,"With: Gary Cooper, Jean Arthur, James Ellison",1915--1965
The Prisoner of Shark Island,1936,1,Samuel Mudd,Medicine,White,0,Male,Warner Baxter,1915--1965
The Story of Louis Pasteur,1936,1,Louis Pasteur,Academic,White,0,Male,Paul Muni,1915--1965
Annie Oakley,1935,1,Annie Oakley,Athlete,White,0,Female,Barbara Stanwyck,1915--1965
Cleopatra,1934,1,Cleopatra,Historical,Middle Eastern,1,Female,Claudette Colbert,1915--1965
Strauss' Great Waltz,1934,2,Johann Strauss I,Musician,White,0,Male,Edmund Gwenn,1915--1965
Strauss' Great Waltz,1934,2,Johann Strauss II,Musician,White,0,Male,Esmond Knight,1915--1965
The Barretts of Wimpole Street,1934,2,Elizabeth Barrett,Author (poet),Multi racial,0,Female,Norma Shearer,1915--1965
The Barretts of Wimpole Street,1934,2,Robert Browning,Author (poet),Multi racial,0,Male,Fredric March,1915--1965
The House of Rothschild,1934,1,Mayer Rothschild,Other,White,0,Male,George Arliss,1915--1965
Viva Villa!,1934,1,Pancho Villa,Military,Hispanic (Latin American),1,Male,Wallace Beery,1915--1965
Queen Christina,1933,1,"Christina, queen of Sweden",Historical,White,0,Female,Greta Garbo,1915--1965
The Private Life of Henry VIII.,1933,1,Henry VIII,Historical,White,0,Male,Charles Laughton,1915--1965
Abraham Lincoln,1930,1,Abraham Lincoln,World leader,White,0,Male,Walter Huston,1915--1965
Disraeli,1929,1,Benjamin Disraeli,World leader,White,0,Male,George Arliss,1915--1965
The King of Kings,1927,1,Jesus,Historical,Middle Eastern (White),0,Male,H.B. Warner,1915--1965
Regeneration,1915,1,Owen Kildare,Other,White,0,Male,Rockliffe Fellowes,1915--1965
