"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-02-25","50","54","47","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-02-26","51","53","41","    1","    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-02-27","47","58","36",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-02-28","50","64","44",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-01","53","59","49","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-02","47","54","39","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-03","43","53","36",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-04","43","53","35",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-05","40","49","31",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-06","40","46","33","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-07","40","51","34","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-08","40","46","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-09","38","46","33",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-10","39","49","31",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-11","41","52","31",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-12","40","46","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-13","38","47","33",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-14","38","44","32",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-15","41","55","31",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-16","41","47","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-17","39","46","32",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-18","44","59","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-19","47","56","36",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-20","40","43","32","    1",,,"    1","    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-21","33","36","32","    1","    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-22","39","49","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-23","42","51","35",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-24","42","52","33",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-25","41","48","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-26","42","50","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-27","41","48","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-28","47","58","43",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-29","56","78","48","    1",,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-30","66","77","45",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-03-31","50","61","39",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-01","55","67","50",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-02","49","54","42",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-03","47","56","44",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-04","57","73","42",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-05","45","56","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-06","53","72","44",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-07","51","67","37",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-08","42","51","34",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-09","42","46","38","    1",,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-10","46","55","38","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-11","49","57","43",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-12","57","78","45",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-13","71","86","60",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-14","74","85","63",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-15","61","69","48","    1",,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-16","53","62","45","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-17","45","49","40",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-18","48","62","36",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-19","53","59","43",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-20","48","61","38",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-21","52","63","42",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-22","57","67","48",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-23","59","69","50",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-24","58","63","55","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-25","59","67","55","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-26","62","73","50",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-27","59","64","54","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-28","62","78","51","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-29","53","58","45",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-04-30","55","73","41",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-01","66","83","49",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-02","72","91","56",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-03","76","90","64",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-04","78","90","69",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-05","73","76","62",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-06","65","73","59",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-07","66","77","58",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-08","68","78","58",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-09","68","80","57",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-10","70","83","61",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-11","73","85","61",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-12","76","90","67",,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-13","69","73","63","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-14","67","81","62","    1",,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2018-05-15","75","89","66","    1",,"    1",,,,
